                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.696,                 5.3415,                 2.1243,                0.00333,                      1,                0.00373,                0.00134,                 3.0746,                 7.4124,                 2.2306,                      0,                      0,                      0
                      2,                 2.3104,                  4.544,                 1.7943,                0.00333,                      1,                0.00375,                0.00122,                 3.0553,                 7.1262,                 2.2125,             1.9208e-05,             1.9208e-05,             1.9208e-05
                      3,                 2.4512,                 5.5274,                 1.8367,                0.00333,                      1,                0.00438,                0.00162,                 3.0096,                 6.7867,                 2.1548,             3.6832e-05,             3.6832e-05,             3.6832e-05
                      4,                  2.198,                 4.7109,                  1.628,                0.00333,                      1,                0.17037,                0.01891,                 2.8505,                 7.1639,                 2.0048,             5.2872e-05,             5.2872e-05,             5.2872e-05
                      5,                 1.8116,                 4.3779,                 1.4279,                0.00222,                0.66667,                0.16902,                0.02337,                 2.7389,                 6.7344,                 1.9742,             6.7328e-05,             6.7328e-05,             6.7328e-05
                      6,                 1.6031,                  4.564,                 1.3306,                0.00333,                      1,                0.44496,                0.06413,                 2.6521,                 6.0982,                  1.946,               8.02e-05,               8.02e-05,               8.02e-05
                      7,                  1.801,                 4.6635,                 1.6021,                0.00333,                      1,                0.44508,                0.07251,                 2.4593,                 5.5538,                 1.8708,             9.1488e-05,             9.1488e-05,             9.1488e-05
                      8,                  1.566,                 4.2131,                 1.4772,                0.00333,                      1,                  0.995,                 0.1507,                 2.1437,                 5.2168,                 1.7172,             0.00010119,             0.00010119,             0.00010119
                      9,                 1.8454,                 3.9881,                 1.4663,                0.00333,                      1,                  0.995,                0.21654,                 1.8095,                 6.0612,                 1.6083,             0.00010931,             0.00010931,             0.00010931
                     10,                 1.5223,                 3.7192,                 1.1299,                0.00333,                      1,                  0.995,                0.26415,                 1.7565,                 5.3049,                 1.4872,             0.00011585,             0.00011585,             0.00011585
                     11,                 1.6715,                 3.8141,                 1.2458,                0.00333,                      1,                  0.995,                0.21378,                 1.9099,                 5.0297,                  1.494,              0.0001208,              0.0001208,              0.0001208
                     12,                  1.488,                 3.6804,                 1.3353,                0.00333,                      1,                  0.995,                0.26089,                 1.8362,                 5.2513,                  1.407,             0.00012417,             0.00012417,             0.00012417
                     13,                 1.7904,                 3.1308,                 1.3705,                0.00333,                      1,                  0.995,                0.28309,                 1.8189,                 4.7622,                 1.4501,             0.00012595,             0.00012595,             0.00012595
                     14,                 1.3056,                 3.2067,                 1.1271,                0.00333,                      1,                  0.995,                0.35272,                 1.6864,                 4.9137,                 1.4031,             0.00012615,             0.00012615,             0.00012615
                     15,                  1.145,                 3.5513,                  1.023,                0.00333,                      1,                  0.995,                0.33323,                 1.7514,                 4.7041,                 1.5135,             0.00012477,             0.00012477,             0.00012477
                     16,                 1.3463,                 3.5188,                 1.1658,                0.00333,                      1,                  0.995,                 0.3438,                 1.7555,                 4.4975,                  1.437,              0.0001218,              0.0001218,              0.0001218
                     17,                 1.2217,                 3.4107,                  1.211,                0.00333,                      1,                  0.995,                0.43602,                 1.5649,                 4.8223,                 1.2691,             0.00011725,             0.00011725,             0.00011725
                     18,                 1.4319,                 3.4376,                 1.2516,                0.00333,                      1,                  0.995,                0.43602,                 1.5649,                 4.8223,                 1.2691,             0.00011111,             0.00011111,             0.00011111
                     19,                 1.2214,                  3.286,                 1.1569,                0.00333,                      1,                  0.995,                0.53728,                 1.4489,                 4.8395,                 1.3347,             0.00010339,             0.00010339,             0.00010339
                     20,                 1.1398,                 3.5235,                 1.0939,                0.00333,                      1,                  0.995,                0.53728,                 1.4489,                 4.8395,                 1.3347,             9.4088e-05,             9.4088e-05,             9.4088e-05
                     21,                 1.4522,                 3.3292,                 1.1334,                0.00333,                      1,                  0.995,                0.47044,                 1.4057,                 4.6527,                  1.344,               8.32e-05,               8.32e-05,               8.32e-05
                     22,                 1.3424,                 3.4166,                 1.1283,                0.00333,                      1,                  0.995,                0.47044,                 1.4057,                 4.6527,                  1.344,             7.0728e-05,             7.0728e-05,             7.0728e-05
                     23,                 1.0798,                 3.2357,                 1.1014,                0.00333,                      1,                  0.995,                0.58815,                 1.3375,                 4.6934,                  1.251,             5.6672e-05,             5.6672e-05,             5.6672e-05
                     24,                 1.2942,                 3.1871,                 1.1711,                0.00333,                      1,                  0.995,                0.58815,                 1.3375,                 4.6934,                  1.251,             4.1032e-05,             4.1032e-05,             4.1032e-05
                     25,                 1.3861,                 3.3904,                 1.1813,                0.00333,                      1,                  0.995,                0.66374,                 1.3194,                 4.5935,                 1.2174,             2.3808e-05,             2.3808e-05,             2.3808e-05
